main_product_id,sponsored_product_id,sponsored_name,sponsored_brand
2438119712,16119221780,"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic LED Display, 36H Playtime in Ear Earphones, IP7 Waterproof Sport Headset for Android iOS",Aptkdoe
5321127916,17215816718,Pre-Owned Beats by Dr. Dre Solo Buds Storm Gray In Ear Headphones MUVY3LL/A,Beats by Dr. Dre
6557751127,13446916006,Wireless Ear Buds 50H Playback LED Power Display Earphones with Wireless Charging Case Headphones IPX7 Waterproof in-Ear Earbuds with Mic Compatible for iPhone Android Black,CASCHO
2995864229,13446916006,Wireless Ear Buds 50H Playback LED Power Display Earphones with Wireless Charging Case Headphones IPX7 Waterproof in-Ear Earbuds with Mic Compatible for iPhone Android Black,CASCHO
6570902110,13446916006,Wireless Ear Buds 50H Playback LED Power Display Earphones with Wireless Charging Case Headphones IPX7 Waterproof in-Ear Earbuds with Mic Compatible for iPhone Android Black,CASCHO
16513673629,16556951535,"CMF Buds 2 Wireless Earbuds, Bluetooth 5.4 Headphones with 48dB Hybrid ANC, 11mm Drivers with Ultra Bass Technology, 55 Hours Playtime, 6HD Mics, ChatGPT Integration Dark Grey",CMF by Nothing
1496314895,1006012037,"Skullcandy Crusher Evo XT Wireless over-Ear Headphones, Black",Skullcandy
1415071964,1303462639,"VEATOOL Wireless Earbuds Open Ear Headphone Sport, Bluetooth 5.4 Earbud, 50Hrs Earphone with Earhook, Noise Cancelling Mic,Light Weight Comfortable Fit,Suitable for Running,Workouts",VEAT00L
631193073,799981023,"JLab Go Air Pop Bluetooth Earbuds, True Wireless with Charging Case",JLab
